"","Label","OBO Ontology ID","Markers"
"24","Lymphatic Endothelial","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","ZFPM2,PTPRE,PKHD1L1,CD36,MMRN1,SEMA3A,RELN,NRP2,TBX1,CCL21"
"25","Macula Densa","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","ERBB4,SLC12A1,PLCB1,CCSER1,DEPTOR,COL4A3,DAPK1,CASR,PAPPA2,KLHL13"
"26","Mast","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","SLC24A3,KIT,IL18R1,CDK15,CPA3,GRAP2,SLC8A3,HPGDS,CADPS,TPSB2"
"27","Medullary Fibroblast","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","LTBP1,CALD1,DACH1,NR2F2-AS1,HPSE2,SOX5,PALLD,ATRNL1,SYT1,PRKCA"
"28","Medullary Thick Ascending Limb","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","SLC12A1,ESRRG,EGF,MAST4,PLCB1,CACNA2D3,PLCL1,ATP1B1,UMOD,PDE1A"
"29","Mesangial","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","PIP5K1B,ROBO1,PHTF2,DAAM2,PIEZO2,PDGFRB,ITGA11,HS3ST3A1,AGTR1,AC073941.1"
"30","Monocyte","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","TBXAS1,SMAP2,LYN,DOCK2,CTSS,FAM49A,MYO1F,SLC11A1,ITGAL,POU2F2"
"31","Monocyte-derived","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","CELF2,PLXDC2,TBXAS1,ELMO1,CHST11,DPYD,AOAH,ANKRD44,SMAP2,FMN1"
"32","Natural Killer / Natural Killer T","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","AOAH,PARP8,CD247,PTPRC,SYTL3,CARD11,IKZF1,TXK,APBA2,SLFN12L"
"33","Neutrophil","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","S100A9,S100A8,CSF3R,FCGR3B,AQP9,GLT1D1,TREM1,BCL2A1,CXCR2,MMP9"
"34","Outer Medullary Collecting Duct Intercalated Type A","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","SLC26A7,MAGI1,TMEM117,ATP6V0D2,ATP6V0A4,PTPRJ,TFCP2L1,CLNK,RNF152,MPPED2"
