"","Label","OBO Ontology ID","Markers"
"27","Smooth Muscle","[myofibroblast cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000186)","TPM2, ACTA2, MYL9, MYH11, CALD1, DSTN, CNN1, DES, PLN, CSRP1"
"28","Artery","[mature NK T cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000814)","DKK2, PTPRB, EFNB2, EPAS1, GJA5, HEY1, ARGLU1, FBLN5, SEMA3G, BMX"
"29","Capillary Aerocyte","[pericyte cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000669)","HPGD, APP, EDNRB, EMCN, ESAM, STXBP6, CLDN5, CYP3A5, SOSTDC1, TBX2"
"30","Capillary Intermediate","[plasmacytoid dendritic cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000784)","EPAS1, SH3BP5, RALA, PECAM1, WWTR1, GALNT18, ACVRL1, SRSF11, VAT1, IPO7"
"31","Lipofibroblast","[bronchial epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002328)","WT1, STEAP1, MEDAG, OSR1, CPXM1, FGF7, CCDC71L, HAS1, C3, C7"
"32","Mesothelial","[capillary endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002144)","GALNT9, ITLN1, WT1, PRG4, MGARP, C3, ALDH1A3, DMKN, SLPI, DSC3"
"33","Platelet/Megakaryocyte","[smooth muscle cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000192)","TUBB1, CMTM5, ACRBP, PF4, GP9, TMEM40, ITGA2B, GRAP2, GP6, CABP5"
"34","Natural Killer T","[fibroblast](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000057)","GNLY, CD7, CTSW, CCL5, CD2, ZFP36L2, CXCR4, LGALS1, CEBPB, S100A6"
"35","Fibromyocyte","[neuroendocrine cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000165)","SCX, FAM150A, HSPB3, RAMP1, CSRP1, CNN1, CST5, IGF1, CLU, MET"
"36","Goblet","[ionocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0005006)","S100P, FAM3D, CXCL17, GABRP, WFDC2, PSCA, AGR2, TXN, CLIC1, COX5A"
"37","Ionocyte","[goblet cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000160)","PHGR1, ASCL3, HEPACAM2, FOXI1, TMPRSS11E, ATP6V1B1, BSND, TFF3, STAC2, MFSD6L"
"38","Neuroendocrine","[myeloid cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000763)","PCSK1N, BEX1, SEC11C, CPE, NENF, PRDX2, CHGA, EGR1, FAM46A, SCGN"
"39","Serous","[serous secreting cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000313)","LTF, SLPI, ZG16B, PRR4, PIP, AZGP1, S100A1, LYZ, NDRG2, DMBT1"
